id,English name,Birthright,Conquest,Revelation,isChild,class,birthday day,birthday month,description
Kiragi,Kiragi,1,0,1,1,Archer,4,7,"Takumi's son, raised in the Deeprealms. Enjoys hunting, but also is enthusiastic about life in general. Seems to have endless stamina and optimism. Has the sharpest eyes in the army."
Asugi,Asugi,1,0,1,1,Ninja,1,1,"Saizo's son, raised in the Deeprealms. Unsure about carrying on his father's name. Generally cool, but absolutely obsessed with sweets. Enjoys making them as well. Smells better than anyone."
Selkie,Selkie,1,0,1,1,Kitsune,20,10,"Kaden's daughter, raised in the Deeprealms. Cheerful, noisy, and not at all shy, she is always looking for people (and animals) to play with. The most fearless in the army."
Hisame,Hisame,1,0,1,1,Samurai,27,9,"Hinata's son, raised in the Deeprealms. Thinks of his father as a poor role model. Stubborn, serious, and careful in all things. Loves pickles and tea more than anything. The youngest old man."
Mitama,Mitama,1,0,1,1,Shrine Maiden,26,6,"Azama's daughter, raised in the Deeprealms. Finds her father a bit annoying, though she inherited his acerbic wit. Loves to sleep and write poetry. Thinks more about the sky than anyone."
Caeldori,Caeldori,1,0,1,1,Sky Knight,6,7,"Subaki's daughter, raised in the Deeprealms. Dreams of becoming as perfect as her father, but may have already surpassed him. The most likely to fall head over heels in love."
Rhajat,Rhajat,1,0,1,1,Diviner,1,4,"Hayato's daughter, raised in the Deeprealms. Finds her father childish, but dwells on her own disturbing obsessions. Magically adept but morally questionable. Has the darkest thoughts."
Fuga,Fuga,0,0,1,0,Master of Arms,8,1,Chief of the Wind Tribe and friend of the late King Sumeragi. He is known as a wise leader and brave soldier. Judges others by their abilities and acumen. Children adore him.
Elise,Elise,0,1,1,0,Troubadour,19,3,A playful Nohrian princess whose innocence sometimes lets her see truths that others miss. Loves her siblings to a degree bordering on hero worship. The best at remembering birthdays.
Arthur,Arthur,0,1,1,0,Fighter,24,1,"A local hero from a small town in Nohr, now a retainer for Elise. He has an eccentric obsession with justice matched only by his incredibly poor luck. The most likely to take a bad spill."
Effie,Effie,0,1,1,0,Knight,13,4,"A Nohrian soldier who serves Elise. Gentle and wishes to protect others, which is fortunate because she is strong enough to break armor with her bare hands. Most likely to ask for seconds."
Odin,Odin,0,1,1,0,Dark Mage,15,7,"A dark mage serving Leo in Nohr. Does not talk about his homeland or history, but still talks a great deal. Gives absurd names to his weapons and Ågspecial moves.Åh Most likely to shout ÅgLevel up!Åh"
Niles,Niles,0,1,1,0,Outlaw,22,4,"A Nohrian former thief serving as LeoÅ's retainer. He grew up as an impoverished orphan. Appears relaxed and mature, but flirts with everyone to see them react. Does the most stargazing."
Nyx,Nyx,0,1,1,0,Dark Mage,17,2,"A Nohrian mage preternaturally talented with curses. Cool and composed, she mostly avoids the others. Looks much, much younger than she actually is. Gives the best gifts."
Camilla,Camilla,0,1,1,0,Malig Knight,30,11,"The elder princess of Nohr. An extremely affectionate older sister and mother figure to the Avatar, she is a terror to her enemies in battle. Loves hot springs and baths."
Selena,Selena,0,1,1,0,Mercenary,21,1,"A retainer serving Camilla in Nohr. Her homeland and history are unknown. Strong willed and angry, she will occasionally show a gentle side to those she trusts. The most wasteful shopper."
Beruka,Beruka,0,1,1,0,Wyvern Rider,26,2,"A wyvern knight from Nohr serving Camilla. Born to heartless parents who left her on the streets, she is quiet and unexpressive. Has been an assassin since her youth. Has the highest poison tolerance."
Laslow,Laslow,0,1,1,0,Mercenary,7,8,"A mercenary serving Xander in Nohr. His homeland and history are unknown. A friendly flirt, he is actually quite shy. He aims to be a dancer someday and is quite good. The biggest night owl."
Peri,Peri,0,1,1,0,Cavalier,24,12,"A Nohrian noble serving Xander. Spoiled by her wealthy family, sheÅ's childish and a crybaby who loves combat and bloodshed. No longer allowed to have a butler. The best chef in the army."
Benny,Benny,0,1,1,0,Knight,24,3,"A border guard from Nohr. His intimidating appearance is even scarier for his silence, but really heÅ's just shy and quite gentle. Always carries a charm with him. Most of his friends are bears."
Charlotte,Charlotte,0,1,1,0,Fighter,4,5,"A border guard from Nohr with ambitions to marry above her station. Puts on whatever persona she thinks will make people like her, but favors a cutesy innocent act. The most cynical in the army."
Leo,Leo,0,1,1,0,Dark Knight,30,6,The brilliant prince of Nohr who wields the legendary Brynhildr and is known for his potent magic. He can be quite cruel to his enemies. Objectively loves tomatoes more than anyone else could.
Keaton,Keaton,0,1,1,0,Wolfskin,30,10,"A wolfskin leader from NohrÅ's Mount Garou. Cheerful, sociable, and a little stupid. Loves big bugs and round dust bunnies; avidly collects both. The most easily distracted member of the army."
Xander,Xander,0,1,1,0,Paladin,27,10,"The crown prince of Nohr and wielder of the legendary Siegfried. Gifted military leader. Can seem unapproachable, but is actually kind and personable. Has nice handwriting."
Flora,Flora,0,1,1,0,Maid,19,2,"Along with her twin sister, Felicia, one of the AvatarÅ's Ice Tribe retainers. She is an excellent and thoughtful maid, unlike her sister, but also tends to overthink things. Surprisingly jealous."
Siegbert,Siegbert,0,1,1,1,Cavalier,28,5,"XanderÅ's son, raised in the Deeprealms. Feels inferior to his accomplished father. Educated in many disciplines, but has trouble saying no and gets pushed around because of it. Has the best teeth."
Forrest,Forrest,0,1,1,1,Troubadour,13,3,"LeoÅ's son, raised in the Deeprealms. Drawn to the healing arts by a sense of duty to help those in need. Loves fashion and sewing. The most sympathetic ear in the army."
Ignatius,Ignatius,0,1,1,1,Knight,16,8,"BennyÅ's son, raised in the Deeprealms. Wishes he wasnÅft so weak willed. Treasures the charm his father made to protect him. Much kinder than he looks. Afraid of ghosts and bugs."
Velouria,Velouria,0,1,1,1,Wolfskin,11,10,"KeatonÅ's daughter, raised in the Deeprealms. Loves her father, maybe too much. DoesnÅft express her other feelings well. Picks up everything she finds and keeps much of it. Has the messiest room."
Percy,Percy,0,1,1,1,Wyvern Rider,5,9,"ArthurÅ's son, raised in the Deeprealms. Dreams of becoming a hero like his father, and trains day and night with his dragon, Ace. An earnest, sweet young man. Has astonishingly good luck."
Ophelia,Ophelia,0,1,1,1,Dark Mage,15,9,"OdinÅ's daughter, raised in the Deeprealms. Aspires to be a Ågchosen oneÅh like her father. A dreamer, she has a strong spiritual connection to stars and stones. The best in the army at skipping."
Soleil,Soleil,0,1,1,1,Mercenary,31,8,"LaslowÅ's daughter, raised in the Deeprealms. She is cheerful, is athletic, and adores cute things. She is also a relentless flirt with girls, though she is also attracted to men. The worst singer."
Nina,Nina,0,1,1,1,Outlaw,31,1,"NilesÅ's estranged daughter, raised in the Deeprealms. She is a devoted daydreamer and voyeur, especially when she sees two men together. The worst at talking to members of the opposite sex."
